skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Wake of Fire Sentry	262	ass	wake of fire sentry		45																																																							wakeofdestruction	assassintrap	5	S1	Wake Of Destruction Sentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Inferno Sentry	skill('Inferno Sentry'.blvl)					32			assassin_summon																																1	0		rng												S2	S2	S2				1	4																				(skill('Wake of Fire Sentry'.blvl) < 100) ? (skill('Wake of Fire Sentry'.blvl)/50+1) : ((skill('Wake of Fire Sentry'.blvl)-50)/25+1)	60	250					Fire Trauma														1	8	15	1	1																par1	shots fired	12	Shots fired													50	damage synergy	1								8															fire	30	20	40	60	80	100	90	20	40	60	80	100	(skill('Fire Trauma'.blvl) + skill('Inferno Sentry'.blvl)) * par8 / 250						3		128	1000
Weapon Block	263	ass	weapon block																																											weaponblock	h2h	passive_weaponblock	"min(par2, par1 + lvl / 3)"																																																												1	0		rng		h2h					h2h					SC	SC	SC				1																					(skill('Weapon Block'.blvl) < 100) ? (skill('Weapon Block'.blvl)/50+1) : ((skill('Weapon Block'.blvl)-50)/25+1)	60	250					Claw Mastery								1						0	8	0	0	1						1												10	min block %	95	max block %													1								8																																		10		128	1000
Cloak of Shadows	264	ass	cloak of shadows		47																57347	cloak_of_shadows	cloaked	ln34	dm12	skill_armor_percent	"0-min(ln56,95)"																					item_armor_percent	ln78																																										7																		1	0		none												SC	SC	SC				1																					(skill('Cloak of Shadows'.blvl) < 100) ? (skill('Cloak of Shadows'.blvl)/50+1) : ((skill('Cloak of Shadows'.blvl)-50)/25+1)	50	250					Psychic Hammer														1	8	16	2	1																		20	min radius of effect	20	max radius of effect	200	duration	25	Duration per level	15	percent armor decrease	3	percent decrease per level	60	percent armor bonus	3	percent armor bonus per level	1								8																																		2		128	1000
Cobra Strike	265	ass	cobra strike	23	34								2									progressive_steal		par3		progressive_steal		progressive_tohit	par4																																																									cobrastrike1	assassin_chargeup_cobra_1						13	13	13														1	0		h2h		mele										A1	A1	A2				1		1	1								1										(skill('Cobra Strike'.blvl) < 100) ? (skill('Cobra Strike'.blvl)/50+1) : ((skill('Cobra Strike'.blvl)-50)/25+1)	55	250					Tiger Strike								1						1	8	4	0	1							1											40	Base percent life steal	5	Percent life steal per level	500	duration	50	tohit bonus for each charge-up									1	60	15						8	128														ltng	25	25	50	75	100	125	100	25	50	75	100	125							12		128	1000
Blade Fury	266	ass	blade fury	26	48					par4							bladefragment1																																																																										8	6					bladefragment2												1	0		rng												SQ	A1	SC	23	12																							(skill('Blade Fury'.blvl) < 100) ? (skill('Blade Fury'.blvl)/50+1) : ((skill('Blade Fury'.blvl)-50)/25+1)	70	250					Blade Sentinel	Wake of Fire Sentry							1	1			1	6	0	4	6	2	1																		0	"Don't Use, missile range mod"	0	"Don't Use, missile range mod"	3	Min Mana to start casting	2	Frame delay between blades									1								8	96	36	30	60	90	120	150	144	30	60	90	120	150	stat(0.accr) / 4	pois	96	24	48	72	96	120	96	24	48	72	96	120		25					5		160	2000
Fade	267	ass	fade		18																	fade		ln56		fireresist	ln12	coldresist	ln12	lightresist	ln12	poisonresist	ln12	magicresist	ln12	damageresist	"min(par8,par7 + lvl / 50)"											fade	2																												assassin_fade																																1	0		none												SC	SC	SC				1													1								(skill('Fade'.blvl) < 100) ? (skill('Fade'.blvl)/50+1) : ((skill('Fade'.blvl)-50)/25+1)	70	250					Quickness														1	8	40	0	1	1																	10	resistance	2	resist per level					3000	duration	300	Duration per level	1	min damage resist %	50	max damage resist	1								8																																		1		160	2000
Shadow Warrior	268	ass	shadow warrior		49																	shadowwarrior				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10															fireresist	"min(lvl/3,95)"	coldresist	"min(lvl/3,95)"	lightresist	"min(lvl/3,95)"	poisonresist	"min(lvl/3,95)"	magicresist	"min(lvl/3,95)"			shadowwarrior	shadowwarrior	1	NU											42			assassin_summon																																1	0		none												SC	SC	SC				1	4																				(skill('Shadow Warrior'.blvl) < 100) ? (skill('Shadow Warrior'.blvl)/50+1) : ((skill('Shadow Warrior'.blvl)-50)/25+1)	80	250					Cloak of Shadows	Weapon Block						150							1	8	40	3	1	1																	0	Plus % HP per level	15	plus to hit per level	12	Plus % AC per level	0	?	0	base item quality level	1	item quality per level					1								8																																		3		160	2000
Claws of Thunder	269	ass	claws of thunder	23	35	1		36	37			par1	4					clawsofthundernova	clawsofthunderbolt			progressive_lightning		par3		progressive_lightning		progressive_tohit	par4																																																																	10	11			clawsofthundernova	clawsofthunderbolt										1	0		h2h	3	h2h										SQ	A1	xx	16			1			1								1										(skill('Claws of Thunder'.blvl) < 100) ? (skill('Claws of Thunder'.blvl)/50+1) : ((skill('Claws of Thunder'.blvl)-50)/25+1)	80	250					Fists of Fire								1						1	8	7	0	1							1											4	skip			500	duration	50	tohit bonus for each charge-up							100	damage synergy	1	80	15						8	128														ltng	36	18	36	54	72	90	288	36	72	108	144	180	skill('Royal Strike'.blvl) * par8 / 250						4		160	2000
Dragon Tail	270	ass	dragon tail	27	50												dragontail missile								par3																																																				assassin_kick_1														9	7					dragontail missile												1	0		h2h	4											KK	KK	A1				1			1								1										(skill('Dragon Tail'.blvl) < 100) ? (skill('Dragon Tail'.blvl)/50+1) : ((skill('Dragon Tail'.blvl)-50)/25+1)	75	250					Dragon Claw								1						1	8	10	0	1					1					ln12	damage%							50	Percent area damage min	10	percent area damage per level	6	Radius	-40	Attack rate penalty									1	40	7					1	8															fire																			4		160	2000
Lightning Sentry	271	ass	lightning sentry		45																																																							lightningsentry	assassintrap	5	S1	sentry lightning	lvl	Shock Field	skill('Shock Field'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)						assassin_summon																																1	0		rng												S2	S2	S2				1	4																				(skill('Lightning Sentry'.blvl) < 100) ? (skill('Lightning Sentry'.blvl)/50+1) : ((skill('Lightning Sentry'.blvl)-50)/25+1)	100	250					Charged Bolt Sentry														1	8	25	2	1																par1	shots fired	16	Shots fired													40	damage synergy	1								8															ltng	36	18	36	54	72	90	288	36	72	108	144	180	(skill('Shock Field'.blvl) + skill('Charged Bolt Sentry'.blvl) + skill('Death Sentry'.blvl)) * par8 / 250						3		192	4000
Inferno Sentry	272	ass	inferno sentry		45																																																							infernosentry	assassintrap	5	S1	mon inferno sentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Wake of Fire Sentry	skill('Wake of Fire Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)			32			assassin_summon																																1	0		rng												S2	S2	S2				1	4																				(skill('Inferno Sentry'.blvl) < 100) ? (skill('Inferno Sentry'.blvl)/50+1) : ((skill('Inferno Sentry'.blvl)-50)/25+1)	90	250					Wake of Fire Sentry														1	7	25	5	1																par1	shots fired	16	Shots fired													50	damage synergy	1								4															fire	80	40	80	120	160	200	240	40	80	120	160	200	(skill('Fire Trauma'.blvl) + skill('Wake of Fire Sentry'.blvl)) * par8 / 250						3		192	4000
Mind Blast	273	ass	mind blast		51																33667				par7																																																				assassin_psychichammer							fist_will_cast								8					mindblast center	mindblast hit											1	0		rng												SC	SC	SC				1			1										1								(skill('Mind Blast'.blvl) < 100) ? (skill('Mind Blast'.blvl)/50+1) : ((skill('Mind Blast'.blvl)-50)/25+1)	90	250					Cloak of Shadows														1	8	20	3	1																		60	length of stun	5	additional lengh of stun	200	conversion length min	300	conversion length random range	15	chance for conversion	60	max chance for conversion	4	radius			1				9				8		15	15	30	45	60	75	45	15	30	45	60	75	stat(0.accr) / 4	stun														50	5	5	5		11		192	4000
Blades of Ice	274	ass	blades of ice	23	35	1		38	39		par1	par2	4						bladesoficecubes		34571	progressive_cold		par3		progressive_cold		progressive_tohit	par4																																																																	9	9			bladesoficeexplode	bladesoficecubes										1	0		h2h	3	h2h										SQ	A1	xx	16			1		1	1								1										(skill('Blades of Ice'.blvl) < 100) ? (skill('Blades of Ice'.blvl)/50+1) : ((skill('Blades of Ice'.blvl)-50)/25+1)	95	250					Claws of Thunder								1						1	8	7	0	1							1											5	Second level radius	8	Third level radius	500	duration	50	tohit bonus for each charge-up	1	freeze length divisor					100	damage synergy	1	70	10						8	128														cold	36	36	72	108	144	180	72	36	72	108	144	180	skill('Royal Strike'.blvl) * par8 / 250	100	10	15	20		4		192	4000
Dragon Flight	275	ass	dragon flight	12	52																				par7																																																			1	sorceress_teleport							dragonflight							5																1		1	0		rng	4											SQ	A1	xx	21							1							1										(skill('Dragon Flight'.blvl) < 100) ? (skill('Dragon Flight'.blvl)/50+1) : ((skill('Dragon Flight'.blvl)-50)/25+1)	100	250					Dragon Tail							15	1						1	8	22	0	1					1													75	% Damage bonus	15	% damage per level									27	range			1	100	20					1	8																																		13		192	4000
Death Sentry	276	ass	death sentry		45																																																							deathsentry	assassintrap	5	S1	mon death sentry	lvl	death sentry ltng	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)			32			assassin_summon																																1	0		rng												S2	S2	S2				1	4																				(skill('Death Sentry'.blvl) < 100) ? (skill('Death Sentry'.blvl)/50+1) : ((skill('Death Sentry'.blvl)-50)/25+1)	115	250					Lightning Sentry														1	8	30	3	1																par1	shots fired	16	Shots fired													40	damage synergy	1								8															ltng	72	18	36	54	72	90	720	48	96	144	192	240	(skill('Charged Bolt Sentry'.blvl) + skill('Lightning Sentry'.blvl)) * par8 / 250						3		224	8000
Blade Shield	277	ass	blade shield	28	54												blade shield attachment				33667	bladeshield		ln12	par4																																																				assassin_bladeshield																																1	0		none												SC	SC	SC				1																					(skill('Blade Shield'.blvl) < 100) ? (skill('Blade Shield'.blvl)/50+1) : ((skill('Blade Shield'.blvl)-50)/25+1)	110	250					Blade Fury														1	8	50	4	1	1		1	par3														3600	duration	300	duration per level	15	delay	5	radius to attack in									1				32		3		8	32	50	50	100	150	200	250	200	50	100	150	200	250	stat(0.accr) / 4	pois	2	1	2	3	4	5	2	1	2	3	4	5		25					1		224	8000
Venom	278	ass	venom		18																	venomclaws		ln12		poisonmindam	enms	poisonmaxdam	exms	skill_poison_override_length	edma																																														assassin_venom																																1	0		none												SC	SC	SC				1													1								(skill('Venom'.blvl) < 100) ? (skill('Venom'.blvl)/50+1) : ((skill('Venom'.blvl)-50)/25+1)	110	250					Fade														1	8	20	4	1	1																	3600	duration	300	duration per level	0	?	0	?	0	?	0	?					1								8															pois	2	1	2	3	4	5	2	1	2	3	4	5		100					1		224	8000
Shadow Master	279	ass	shadow master		49																	shadowwarrior				tohit	lvl*par2	strength	lvl*10	dexterity	lvl*10																	fireresist	"min(lvl/3,95)"	coldresist	"min(lvl/3,95)"	lightresist	"min(lvl/3,95)"	poisonresist	"min(lvl/3,95)"	magicresist	"min(lvl/3,95)"			shadowmaster	shadowwarrior	1	NU											42			assassin_summon																																1	0		none												SC	SC	SC				1																					(skill('Shadow Master'.blvl) < 100) ? (skill('Shadow Master'.blvl)/50+1) : ((skill('Shadow Master'.blvl)-50)/25+1)	120	250					Shadow Warrior							150							1	8	80	5	1	1																	0	Pluse % HP per level	15	plus to hit per level	5	Min % resist all	95	Max % resist all	0	base item quality level	3	item quality per level					1								8																																		3		224	8000
Royal Strike	280	ass	royal strike	23	34		40	143	41		par6	par5					royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice			progressive_other		225	par1	progressive_other		progressive_tohit	par7																																																																14	83	15		royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice										1	0		h2h		mele										A1	A1	A2				1		1	1								1										(skill('Royal Strike'.blvl) < 100) ? (skill('Royal Strike'.blvl)/50+1) : ((skill('Royal Strike'.blvl)-50)/25+1)	120	250					Cobra Strike	Blades of Ice							1						1	8	10	0	1							1			par2								12	radius of jump to next target	14	radius of meteor explosion	75	Frames of fire	15	Frames of fire per level	32	chaos ice bolts	10	chain lightning skip	25	to hit bonus per charge up	50	damage synergy	1	70	15						8	128																																	4	-3	224	8000
Wake Of Destruction Sentry	281				125												wake of destruction maker																																																																											70					wake of destruction maker												1	0		none												SQ	SQ	S2				1																						1																					8	0	0	1																par8	shots fired	6	Number of missiles	2	Number of missiles per level			2	Min Range							5	Shots Fired	1								8																																				0	0
Imp Inferno	282			59	126												impinfernoflame1																																																																											71					impinfernoflame1	impinfernoflame2			8	z offset	lvl-1	range					1	0		none												SQ	SQ	SC	6			1																						1																					8	0	0	1										"rand(par3,par4)"	len	lvl-1	range					30	base ranged (doubled)	3	level range (doubled)	100	min frames	120	max frames									1								4															fire	25	10	20	40	60	80	50	10	20	40	60	80									0	0
Imp Fireball	283													impfireball		1																																																													sorceress_cast_fire											fire_cast_2				72					impfireball				40	z offset							1	0		none												SQ	SQ	S2				1																						1																					8	0	0	1																																		1								8															fire	25	10	20	40	60	80	50	10	20	40	60	80									0	0
Baal Taunt	284				28												baal taunt control																																																																						monster_baal_taunt_1				46						baal taunt control												1	0		none												SQ	SQ	A1				1																						1																					8	0	0	1										3		45						45	Delay in poison clouds	3	Delay in lightning 													1								8																																				0	0
Baal Corpse Explode	285				141																				ln34																																																																		82																		1	0		none												SQ	SQ	S3				1																						1																					8	0	0	1																		1	% of base monster HP min damage	1	% of base monster HP max damage	6	radius (half squares) for damage	1	additional radius/level (half squares) for damage	40	Radius of search for corpses							1								8																																				0	0
Baal Monster Spawn	286													baal spawn monsters		1																																																													baal_summon																			baal spawn monsters													1	0		none												SQ	SQ	S3				1																						1																					8	0	0	1																																		1								8																																				0	0
Catapult Charged Ball	287				28												catapultchargedball																																																																										47						catapultchargedball				16	fall rate							1	0		none												SQ	SQ	A1				1																						1																					8	0	0	1																		4	Charged bolts per level															1								8																																				0	0
Catapult Spike Ball	288				28												catapult spike ball																																																																										47						catapult spike ball				16	fall rate							1	0		none												SQ	SQ	A1				1																						1																					8	0	0	1																ln12		50	Spikes to launch	0	Spikes per level													1								8																																				0	0
Suck Blood	289			60	127																																																																																																								1	0		none												SQ	SQ	A1				1																						1																					8	0	0	1										par1	heal%							25	Percent life to boss															1								8		2	1	2	3	4	5	6	1	2	3	4	5																							0	0
Cry Help	290				128															curseattract																																																																																									1	0		none												SQ	SQ	S1				1																						1																					8	0	0											ln12	duration							100	Time for minions to attack target	20	Time per level													1								8																																				0	0
Healing Vortex	291													healing vortex																																																																																		healing vortex													1	0		none												SQ	SQ	S2				1																						1																					8	0	0	1																																		1								8		15	5	10	15	20	25	30	5	10	15	20	25																							0	0
Teleport 2	292				98																																																																																						48	73																	1	0		none												SQ	SQ	S1				1																						1																					8	0	0	1																																		1								8																																				0	0
Self-resurrect	293			61																																																																																							38																		1	0		none												SQ	SQ	S1				1																						1																					8	0	0	1																																		1								8																																				0	0
Vine Attack	294				130												plague vines						slowed			velocitypercent	-100																																																						druidpod_attack_1	druidpod_walk1_1	druidpod_neutral_1								49						vine beast attack	vines	vine beast walk 1	vine beast neutral	"min(12,ln12)"	#vines	35	delay	6	min dist between missiles			1	0		none												SQ	SQ	S1				1																						1																					8	0	0	1										"min(24,ln12)"	# missiles					20	frames to apply aura to target	4	Number of vines	1	vines per level													1								8																																				0	0
Overseer Whip	295				131																		bloodlust	par2		velocitypercent	par3	attackrate	par4	skill_armor_percent	par5	damagepercent	par6																											suicideminion1			S1											33																																			1	0		none												SQ	SQ	A2				1																						1																					8	0	0	1										par1	chance							65	Chance Bloodlust	250	Bloodlust duration	80	Velocity change	80	Speed change	50	Armor change	100	Damage change					1								8																																				0	0
Barbs Aura	296				65																65795	barbscontrol	barbs		ln12	thorns_percent	ln34																																																																																		1	0		none												SQ	SQ	A1				1																						1																					8	0	0	1		1																20	Radius	0	radius per level	50	% thorns damage back	10	% thorns damage back per level									1								8																																				0	0
Wolverine Aura	297				65																65795	wolverinecontrol	wolverine		ln12	item_tohit_percent	ln34	damagepercent	ln56																																																																																1	0		none												SQ	SQ	A1				1																						1																					8	0	0	1		1																20	Radius	0	radius per level	25	% attack rating bonus	7	% attack rating bonus per lvl	20	% damage increase	7	% damage increase per level					1								8																																				0	0
Oak Sage Aura	298				65																65795	oaksagecontrol	oaksage		ln12	item_maxhp_percent	ln34																																																																																		1	0		none												SQ	SQ	A1				1																						1																					8	0	0	1		1																20	Radius	0	radius per level	30	% hitpoints more per level	5	% hitpoint bonus per level									1								8																																				0	0
Imp Fire Missile	299				132												impmiss21																																																												sorceress_cast_fire											fist_will_cast								impmiss21													1	0		none												A1	A1	A1																										1																					8	0	0	1										lvl-1	range adder								?		?		?		?		?		?					1								8																																				0	0
Impregnate	300				133																																																							painworm1			NU																																														1	0		none												S1	S1	S1				1																						1																					8	0	0	1																			?		?		?		?		?		?					1								8																																				0	0
Siege Beast Stomp	301				134																				par5																																																															siege_beast_dust				75																		0		none												A2	A2	A2				1																						1																					8	0	0	1																		8	screen shake magnitude	5	screen shake bulid	20	screen shake duration	15	screen shake fade	25	radius of effect		?					1				1				8		40	10	20	30	40	50	120	10	20	30	40	50																							0	0
MinionSpawner	302			62	135																																																																						spawnedminion																																		1	0		none												A1	A1	A1																										1																					8	0	0	1																			?		?		?		?		?		?					1								8																																				0	0
CatapultBlizzard	303				28												catapult cold ball																																																																										47						catapult cold ball				16	fall rate							1	0		none												A1	A1	A1																										1																					8	0	0	1																			?		?		?		?		?		?					1								8																																				0	0
CatapultPlague	304				28												catapult plague ball																																																																										47						catapult plague ball				16	fall rate							1	0		none												A1	A1	A1																										1																					8	0	0	1																			?		?		?		?		?		?					1								8																																				0	0
CatapultMeteor	305				28												catapult meteor ball								par1																																																																		47						catapult meteor ball				16	fall rate							1	0		none												A1	A1	A1																										1																					8	0	0	1																		5	radius of explosion		?	50	duration base	3	duration/level		?		?					1								8																																				0	0
BoltSentry	306				17												sentrychargedbolt																																																																											23					sentrychargedbolt												1	0		none												SC	SC	xx																										1																					8	0	0	1										ln12 + skill('Shock Field'.blvl)/3	# bolts					par8 + skill('Lightning Sentry'.blvl)/4	shots fired	5	Bolts to send out	0	Bolts to send out per level											5	Shots Fired	1								8																																				0	0
CorpseCycler	307			63													recycler delay								10																																																																		49		93				vine beast attack	recycler delay											1	0		none												SQ	SQ	S1				1							1															1																					8	0	0	1										"min(par2, par1 + lvl / 20)"	life steal							3	min % life steal	12	max % life steal													1								8																																				0	0
DeathMaul	308				136												death mauler																																																																											76					death mauler	death mauler trail											1	0		none												A1	A1	xx																										1																					8	0	0	1										96	missile animrate								?		?		?		?		?		?					1								8		15	15	30	45	60	75	60	15	30	45	60	75																							0	0
Defense Curse	309				30																3		defense_curse	ln34	ln12	skill_armor_percent	0-ln56																																																																18	30					curseeffectred		cursecast										1	0		none												SC	SC	S2																										1																					8	0	0	1																		12	radius	0	radius per level	200	duration	50	additional duration/level	50	% defense	5	% defense/lvl					1										15	15	30	45	60	75	60	15	30	45	60	75																							0	0
Blood Mana	310				30																3		blood_mana	ln34	ln12																																																																		18	30					curseeffectred		cursecast										1	0		none												SC	SC	S2																										1																					8	0	0	1																		12	radius	0	radius per level	200	duration	50	additional duration/level	40	Max hitpoints to remove curse							1								8		15	15	30	45	60	75	60	15	30	45	60	75																							0	0
mon inferno sentry	311			53	95												inferno sentry 1																																																																										52	77					inferno sentry 1	inferno sentry 2			-37	z offset							1	0		none												SQ	SQ	xx																										1																					8	0	0	1										ln34/2 + skill('Wake of Fire Sentry'.blvl)	range	par1 + skill('Wake of Fire Sentry'.blvl)	length of fire	3	density	par8	shots fired	15	frame length			40	range times two									10	Shots fired	1								8																																				0	0
mon death sentry	312				55																				ln34																																																														necromancer_corpseexp_1	death_sentry			50	78					corpseexplosion	deathsentryexplode											1	0		none												SQ	SQ	xx											1															1																					8	0	0	1										par1	damage %	par2	damage %	50	fire %	par8 + skill('Fire Trauma'.blvl)/3	shots fired	40	% of base monster HP min damage	100	% of base monster HP max damage	36	radius (half squares)	0	additional radius/level (half squares)							5	Shots Fired	1								8															fire																					0	0
sentry lightning	313													sentrylightningbolt																																																																																		sentrylightningbolt													1	0		none												SQ	SQ	xx																	1									1																					8	0	0	1																par8	shots fired	10	minimum damage	100	max damage	4	increase in dam/level (min & max)									10	Shots Fired	1								8																																				0	0
fenris rage	314				137																	fenris_rage		par1		damagepercent	par2																																																						necromancer_corpseexp_1										51	79					corpseexplosion												1	0		none												A1	A1	A1											1						1									1																					8	0	0	1																		250	rage duration - see fenris rage	50	% damage with rage - see fenris rage													1								8																																				0	0
Baal Tentacle	315				140																																																																																																								1	0		none												S2	S2	S2				1																						1																					8	0	0	1																			?		?		?		?									1																																												0	0
Baal Nova	316				22												baal nova																																																												baal_novacast											fire_cast_2				25					baal nova												1	0		none												S3	S3	S3																										1																					8	0	0	1																																		1								8															fire	200	20	40	60	80	100	300	20	40	60	80	100									0	0
Baal Inferno	317			53	95												baal inferno																																																												baal_missilecast															54					baal inferno												1	0		none												SQ	SQ	xx																										1																					8	0	0	1												par1	length of fire	2	density			20	frame length						?									1								8															mag	250	30	60	90	120	150	450	30	60	90	120	150	stat(357.accr)								0	0
Baal Cold Missiles	318				139												baal cold maker																																																												baal_coldtrailcast															81					baal cold maker												1	0		none												A1	A1	A1				1																						1																					8	0	0	1																																		1								8															cold	100	10	20	30	40	50	200	10	20	30	40	50		200	50	50	50				0	0
MegademonInferno	319			53	95												megademoninferno																																																																											54					fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	S1																										1																					8	0	0	1												par1	length of fire	2	density			15	frame length															1								8																																				0	0
EvilHutSpawner	320			49	91															spawnedflames																																																																							36	50																	1	0		none												SQ	SQ	xx																										1																					8	0	0	1																																		1								8																																				0	0
CountessFirewall	321				24												countessfirewallmaker	countessfirewall																																																											sorceress_cast_fire															26					countessfirewallmaker												1	0		none												SQ	SQ	A1																										1																					8	0	0	1																																		1																																												0	0
ImpBolt	322				17												imp charged bolt																																																																											23					imp charged bolt												1	0		none												SQ	SQ	A1																										1																					8	0	0	1										lvl+2	#bolts																							1								8																																				0	0
Horror Arctic Blast	323			53	95												frozenhorror arcticblast1																																																																											54					frozenhorror arcticblast1	frozenhorror arcticblast1											1	0		none												SQ	SQ	xx	18																									1																					8	0	0	1												par1	length of fire	2	density			15	frame length															1								8																																				0	0
death sentry ltng	324													sentrylightningbolt2																																																																																		sentrylightningbolt2													1	0		none												SQ	SQ	xx																	1									1																					8	0	0	1																																5	Shots Fired	1								8																																				0	0
VineCycler	325			63													vine recycler delay								10																																																																		49		93				vine beast attack	recycler delay											1	0		none												SQ	SQ	S1				1							1															1																					8	0	0	1										"min(par2, par1 + lvl / 20)"	mana steal							3	min % mana steal	12	max % mana steal													1								8																																				0	0
BearSmite	326			32	2																																																																								druidbear_attack_1																																1	9		h2h												S1	S1	xx				1		1	1																			1																					8	0	0											ln34	damage %	"max(250,ln12)"	stunlen					25	Stun Length	5	additional frames/level	0	Percent bonus damage	0	percent damage per level									1								8	128																																			0	0
Resurrect2	327				97																																																																																			healing			39																		1	0		none												SQ	SQ	xx							1	1	1		1					1										1																					8	0	0	1																																		1																																												0	0
BloodLordFrenzy	328			37	109																	monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																														weapon_giant_1		1		weapon_giant_1																												1	3		none												SQ	SQ	A2				1		1	1																			1																					8	0	0	1																		200	duration	25	duration/level	30	min % speed increase	110	max % speed increase									1	10	10						8	128																																			0	0
Baal Teleport	329				98																																																																																						48	73						baalteleport											1	0		none												SQ	SQ	S1				1																						1																					8	0	0	1																																		1								8																																				0	0
Imp Teleport	330				129																	attached																																																							sorceress_teleport														48	74					imp teleport	imp teleport											1	0		none												SQ	SQ	S1				1																						1																					8	0	0	1																																		1								8																																				0	0
Baal Clone Teleport	331				98																																																																																						48	73					baalclonedeath	baalteleport											1	0		none												SQ	SQ	S1				1																						1																					8	0	0	1																																		1								8																																				0	0
ZakarumLightning	332													monsterlight																																																															sorceress_cast_lightning											light_cast_1								monsterlight													1	0		none												SQ	SQ	S1																										1																					8	0	0	1																																		1								8																																				0	0
VampireMissile	333													firehead																																																																																		firehead													1	0		none												SC	SC	SC																										1																					8	0	0	1																																		1								8																																				0	0
MephistoMissile	334													mephisto																																																																																		mephisto													1	0		none												SC	SC	A2																										1																					8	0	0	1																																		1								8																																				0	0
DoomKnightMissile	335				148												undeadmissile1																																																																											94					undeadmissile1												1	0		none												SC	SC	S1																										1																					8	0	0	1																																		1								8																																				0	0
RogueMissile	336				110												rogue1																																																																											66					rogue1												1	0		none												A1	A1	A1																										1																					8	0	0	1																																		1								8																																				0	0
HydraMissile	337													hydra																																																																																		hydra													1	0		none												SC	SC	SC																										1																					8	0	0	1																																		1								8																																				0	0
